figure_id,script_path,input_data_paths,output_png_path,caption_draft_cn,caption_draft_en,chapter_section
Fig-CTD-01,scripts/plot_coupling_schematic.py,cases/*/config.json,plots/coupling_schematic.png,图示 frontal、lateral 与 mixed 三类 1D–2D 耦合接口。,"Schematic view of frontal, lateral, and mixed 1D–2D coupling modes.",8.1
Fig-CTD-02,scripts/plot_test7_geometry_and_mesh.py,cases/*test7*_strict_global_min_dt/geometry.json; cases/*test7*_strict_global_min_dt/two_d_field_summary.csv,plots/test7_geometry_and_mesh.png,Test 7 overtopping-only 变体的 1D 河道、2D 洪泛区、分区与网格示意。,"Geometry and mesh for the overtopping-only Test 7 variant, including river, floodplain partitions, and 2D centroids.",8.1
Fig-CTD-03,scripts/plot_scheduler_timeline_schematic.py,summaries/summary_table.csv,plots/scheduler_timeline_schematic.png,strict、yield 与 fixed-interval 调度的 exchange 时序示意。,"Schematic exchange timelines for strict, yield-schedule, and fixed-interval coupling.",8.1
Fig-CTD-04,scripts/plot_stage_hydrographs_1d.py,cases/*test7*/stage_timeseries_1d.csv; summaries/summary_table.csv,plots/stage_hydrographs_1d.png,大算例代表性 1D 断面的水位过程线比较。,Comparison of stage hydrographs at representative 1D sections for the benchmark case.,8.2
Fig-CTD-05,scripts/plot_discharge_hydrographs_1d.py,cases/*test7*/discharge_timeseries.csv; summaries/summary_table.csv,plots/discharge_hydrographs_1d.png,大算例代表性 1D 断面的流量过程线比较。,Comparison of discharge hydrographs at representative 1D sections for the benchmark case.,8.2
Fig-CTD-06,scripts/plot_xt_stage_river.py,cases/*test7*_strict_global_min_dt/river_profile_stage.csv,plots/xt_stage_river.png,沿主河道的 x–t 水位图。,x–t stage diagram along the benchmark river corridor.,8.2
Fig-CTD-07,scripts/plot_xt_discharge_river.py,cases/*test7*_strict_global_min_dt/river_profile_discharge.csv,plots/xt_discharge_river.png,沿主河道的 x–t 流量图。,x–t discharge diagram along the benchmark river corridor.,8.2
Fig-CTD-08,scripts/plot_exchange_q_timeseries.py,cases/*test7*_fixed_interval_015s/exchange_link_timeseries.csv,plots/exchange_q_timeseries.png,代表性 links 的交换流量过程线。,Exchange discharge time series for representative lateral and frontal links.,8.3
Fig-CTD-09,scripts/plot_exchange_deta_timeseries.py,cases/*test7*_fixed_interval_015s/exchange_link_timeseries.csv,plots/exchange_deta_timeseries.png,代表性 links 的水位差过程线。,Time series of water-level difference across representative exchange links.,8.3
Fig-CTD-10,scripts/plot_exchange_volume_cumulative.py,cases/*test7*_fixed_interval_015s/exchange_link_timeseries.csv,plots/exchange_volume_cumulative.png,累计交换体积曲线。,Cumulative exchanged-volume curves for representative links.,8.3
Fig-CTD-11,scripts/plot_exchange_event_alignment.py,cases/*test7*_fixed_interval_015s/exchange_link_timeseries.csv; cases/*test7*_fixed_interval_015s/crossing_diagnostics.csv,plots/exchange_event_alignment.png,首次 exchange 与关键到达时刻对齐诊断。,Diagnostic alignment between the first exchange event and the key arrival threshold crossing.,8.3
Fig-CTD-12,scripts/plot_2d_snapshots_depth.py,cases/*test7*/two_d_snapshots.csv,plots/2d_snapshots_depth.png,关键时刻 2D 水深快照对比。,Side-by-side 2D depth snapshots at representative times.,8.4
Fig-CTD-13,scripts/plot_2d_snapshots_velocity.py,cases/*test7*/two_d_snapshots.csv,plots/2d_snapshots_velocity.png,关键时刻 2D 流速快照对比。,Side-by-side 2D velocity snapshots at representative times.,8.4
Fig-CTD-14,scripts/plot_2d_max_depth_map.py,cases/*test7*_strict_global_min_dt/two_d_field_summary.csv,plots/2d_max_depth_map.png,参考解的最大水深空间分布。,Maximum-depth map for the benchmark reference solution.,8.4
Fig-CTD-15,scripts/plot_2d_arrival_time_map.py,cases/*test7*_strict_global_min_dt/two_d_field_summary.csv,plots/2d_arrival_time_map.png,参考解的到达时间空间分布。,Arrival-time map for the benchmark reference solution.,8.4
Fig-CTD-16,scripts/plot_2d_difference_map.py,cases/*test7*_strict_global_min_dt/two_d_field_summary.csv; cases/*test7*_fixed_interval_015s/two_d_field_summary.csv,plots/2d_difference_map.png,固定交换间隔相对参考解的 2D 差值图。,2D difference map of a fixed-interval case against the benchmark reference.,8.4
Fig-CTD-17,scripts/plot_flood_front_overlay.py,cases/*test7*_strict_global_min_dt/two_d_snapshots.csv; cases/*test7*_fixed_interval_015s/two_d_snapshots.csv,plots/flood_front_overlay.png,不同策略下洪泛前沿线的叠置比较。,Overlay of flood-front positions for the reference and fixed-interval solutions.,8.4
Fig-CTD-18,scripts/plot_rmse_vs_interval.py,summaries/summary_table.csv,plots/rmse_vs_interval.png,交换间隔与 1D 水位 RMSE 的关系。,Relationship between exchange interval and 1D stage RMSE.,8.5
Fig-CTD-19,scripts/plot_peak_error_vs_interval.py,summaries/summary_table.csv,plots/peak_error_vs_interval.png,交换间隔与峰值误差的关系。,Relationship between exchange interval and peak-stage / peak-discharge errors.,8.5
Fig-CTD-20,scripts/plot_arrival_time_error_vs_interval.py,summaries/summary_table.csv,plots/arrival_time_error_vs_interval.png,交换间隔与到达时间误差的关系。,Relationship between exchange interval and arrival-time error.,8.5
Fig-CTD-21,scripts/plot_phase_lag_vs_interval.py,summaries/summary_table.csv,plots/phase_lag_vs_interval.png,交换间隔与相位滞后的关系。,Relationship between exchange interval and phase lag.,8.5
Fig-CTD-22,scripts/plot_interval_normalized_axes.py,summaries/summary_table.csv,plots/interval_normalized_axes.png,以 Δt_ex/t_arr_ref 与 Δt_ex/t_rise_ref 为横轴的归一化误差图。,Normalized error plot using Δt_ex/t_arr_ref and Δt_ex/t_rise_ref as abscissae.,8.5
Fig-CTD-23,scripts/plot_cost_share_stacked.py,summaries/timing_breakdown.csv,plots/cost_share_stacked.png,不同策略下的计算成本占比。,Stacked cost-share breakdown across coupling strategies.,8.5
Fig-CTD-24,scripts/plot_relative_cost_vs_accuracy.py,summaries/summary_table.csv; summaries/timing_breakdown.csv,plots/relative_cost_vs_accuracy.png,相对成本指数与误差指标的折中关系。,Trade-off between relative cost ratio and accuracy indicators.,8.5
Fig-CTD-25,scripts/plot_floodplain_partition_compare.py,summaries/summary_table_test7_partitions.csv,plots/floodplain_partition_compare.png,Floodplain 1/2/3 分区误差对比。,"Partition-wise comparison across Floodplain 1, 2, and 3.",8.5
Fig-CTD-26,scripts/plot_summary_dashboard.py,summaries/summary_table.csv; summaries/timing_breakdown.csv,plots/summary_dashboard.png,耦合时间离散分析的总览仪表板。,Summary dashboard for the coupling time-discretization analysis.,8.5
